CUE_NUMBER,Track,CUE_NAME,Media,Filesets
199,4_act2,Sarasota - BO,,
200,4_act2,Sarasota Lights Up,"050-105-c02-woodtexture02.mov v003,205-400-c01-bertieswallpaper_realpattern.mov v002,090-603-c00-a_white320_square_supersoft.png v001,102-010-c00-paintedbeach2_ac.mov v001,070-011-c13-tightvign.mov v002","050-105-woodtexture02,205-400-bertieswallpaper_realpattern,090-603-a_white320_square_supersoft,102-010-paintedbeach2_ac,070-011-tightvign"
201,4_act2,Bertie Sings,"050-105-c02-woodtexture02.mov v003,205-400-c01-bertieswallpaper_realpattern.mov v002,090-603-c00-a_white320_square_supersoft.png v001,102-010-c00-paintedbeach2_ac.mov v001,070-011-c13-tightvign.mov v002","050-105-woodtexture02,205-400-bertieswallpaper_realpattern,090-603-a_white320_square_supersoft,102-010-paintedbeach2_ac,070-011-tightvign"
203,4_act2,Button,"050-105-c02-woodtexture02.mov v003,205-400-c01-bertieswallpaper_realpattern.mov v002,090-603-c00-a_white320_square_supersoft.png v001,102-010-c00-paintedbeach2_ac.mov v001,070-011-c13-tightvign.mov v002","050-105-woodtexture02,205-400-bertieswallpaper_realpattern,090-603-a_white320_square_supersoft,102-010-paintedbeach2_ac,070-011-tightvign"
204,4_act2,BO,,
206,4_act2,Littles - BO,"105-108-c14-littles_juststars.mov v002,105-108-c13-littles_juststars.mov v002,050-105-c02-woodtexture02.mov v003,090-653-c00-a_black320_square_supersoft.png v001,102-010-c01-paintedbeach2_ac.mov v002,102-010-c00-paintedbeach2_ac.mov v001","105-108-littles_juststars,050-105-woodtexture02,090-653-a_black320_square_supersoft,102-010-paintedbeach2_ac"
207,4_act2,Sarasota Restore,"050-105-c02-woodtexture02.mov v003,205-215-c01-sarasota_window.mov v003,205-400-c01-bertieswallpaper_realpattern.mov v002,090-603-c00-a_white320_square_supersoft.png v001,102-010-c00-paintedbeach2_ac.mov v001,070-011-c13-tightvign.mov v002","050-105-woodtexture02,205-215-sarasota_window,205-400-bertieswallpaper_realpattern,090-603-a_white320_square_supersoft,102-010-paintedbeach2_ac,070-011-tightvign"
207.1,4_act2,Brighten,"050-105-c02-woodtexture02.mov v003,205-215-c01-sarasota_window.mov v003,205-400-c01-bertieswallpaper_realpattern.mov v002,090-603-c00-a_white320_square_supersoft.png v001,102-010-c00-paintedbeach2_ac.mov v001,070-011-c13-tightvign.mov v002","050-105-woodtexture02,205-215-sarasota_window,205-400-bertieswallpaper_realpattern,090-603-a_white320_square_supersoft,102-010-paintedbeach2_ac,070-011-tightvign"
209,4_act2,Taxi Stand,"050-105-c02-woodtexture02.mov v003,090-604-c00-a_white320_square_medsoft.png v001,205-215-c01-sarasota_window.mov v003,205-400-c01-bertieswallpaper_realpattern.mov v002,090-603-c00-a_white320_square_supersoft.png v001,102-010-c00-paintedbeach2_ac.mov v001,208-106-c11-taxistand.mov v004,208-106-c12-taxistand.mov v004,070-011-c13-tightvign.mov v002","050-105-woodtexture02,090-604-a_white320_square_medsoft,205-215-sarasota_window,205-400-bertieswallpaper_realpattern,090-603-a_white320_square_supersoft,102-010-paintedbeach2_ac,208-106-taxistand,070-011-tightvign"
211,4_act2,Birthday Letters (Flippy),"209-021-c01-birthday_letters.mov v003,208-106-c11-taxistand.mov v004,209-012-c11-flippytransition_intobirthdayletters.mov v002,209-016-c12-birthday.mov v001,208-106-c12-taxistand.mov v004,209-012-c12-flippytransition_intobirthdayletters.mov v001,209-016-c11-birthday.mov v001","209-021-birthday_letters,208-106-taxistand,209-012-flippytransition_intobirthdayletters,209-016-birthday"
217,4_act2,Nina's Letter,"209-021-c01-birthday_letters.mov v003,209-225-c12-ninadiffused.mov v001,209-225-c11-ninadiffused.mov v001","209-021-birthday_letters,209-225-ninadiffused"
218,4_act2,Cee Cee Logo,101-113-c03-ccshow_in_big2smol.mov v002,101-113-ccshow_in_big2smol
219,4_act2,80's Dressing Room (RT),"090-454-c00-a_black_square_medsoft.png v001,210-050-c11-80sdressingroom.mov v008,210-050-c12-80sdressingroom.mov v009,101-154-c02-globewall_still@ceecee.mov v003,210-050-c21-80sdressingroom.mov v005","090-454-a_black_square_medsoft,210-050-80sdressingroom,101-154-globewall_still@ceecee"
221,4_act2,Announcer (RT),"101-061-c11-lbox_chase_trackthrough.mov v002,101-063-c11-lbox_orange_slightshade.mov v001,101-061-c12-lbox_chase_trackthrough.mov v002,101-063-c12-lbox_orange_slightshade.mov v001,101-061-c13-lbox_chase_trackthrough.mov v002,101-063-c13-lbox_orange_slightshade.mov v001,101-061-c14-lbox_chase_trackthrough.mov v002,101-063-c14-lbox_orange_slightshade.mov v001,210-101-c21-ceeceeshow_guests@ceecee.mov v004","101-061-lbox_chase_trackthrough,101-063-lbox_orange_slightshade,210-101-ceeceeshow_guests@ceecee"
222,4_act2,Nina Letters 2,"209-225-c11-ninadiffused.mov v001,209-225-c12-ninadiffused.mov v001,209-225-c21-ninadiffused.mov v004",209-225-ninadiffused
223,4_act2,Carmel Hall,"090-603-c00-a_white320_square_supersoft.png v001,212-211-c11-carmelfronthallopt6.mov v002,212-211-c12-carmelfronthallopt6.mov v001,212-202-c21-carmelfronhallopt3.mov v004","090-603-a_white320_square_supersoft,212-211-carmelfronthallopt6,212-202-carmelfronhallopt3"
224,4_act2,Carmel Bedroom,"050-105-c02-woodtexture02.mov v003,102-010-c00-paintedbeach2_ac.mov v001,212-300-c21-carmelbedroom.mov v001","050-105-woodtexture02,102-010-paintedbeach2_ac,212-300-carmelbedroom"
225,4_act2,Living Room,"050-105-c02-woodtexture02.mov v003,102-010-c00-paintedbeach2_ac.mov v001,212-300-c21-carmelbedroom.mov v001","050-105-woodtexture02,102-010-paintedbeach2_ac,212-300-carmelbedroom"
226,4_act2,Bedroom Restore,"050-105-c02-woodtexture02.mov v003,102-010-c00-paintedbeach2_ac.mov v001,212-300-c21-carmelbedroom.mov v001","050-105-woodtexture02,102-010-paintedbeach2_ac,212-300-carmelbedroom"
228,4_act2,Beach Day,102-010-c00-paintedbeach2_ac.mov v001,102-010-paintedbeach2_ac
231,4_act2,DS Beach Golden,"212-053-c00-paintedbeach2_carmlel_orangebluerays_foam.mov v001,212-081-c00-paintedbeach2_carmel_earlier.mov v003","212-053-paintedbeach2_carmlel_orangebluerays_foam,212-081-paintedbeach2_carmel_earlier"
232,4_act2,Restore,"212-053-c00-paintedbeach2_carmlel_orangebluerays_foam.mov v001,212-081-c00-paintedbeach2_carmel_earlier.mov v003","212-053-paintedbeach2_carmlel_orangebluerays_foam,212-081-paintedbeach2_carmel_earlier"
234,4_act2,Janice Day,102-016-c00-paintedbeach3_ac.mov v001,102-016-paintedbeach3_ac
240,4_act2,Nina Evening,212-014-c00-paintedbeach3_carmel_purpley_fixfoam.mov v003,212-014-paintedbeach3_carmel_purpley_fixfoam
244,4_act2,Desat,212-014-c00-paintedbeach3_carmel_purpley_fixfoam.mov v003,212-014-paintedbeach3_carmel_purpley_fixfoam
248,4_act2,BO w IRIS,,
251,4_act2,Sun Burst Low,216-052-c02-sunburst_02.mov v001,216-052-sunburst_02
255,4_act2,Wind Beneath My Wings,216-051-c02-sunburst_01.mov v001,216-051-sunburst_01
257,4_act2,Fly Shrink,"216-051-c02-sunburst_01.mov v001,216-052-c02-sunburst_02.mov v001","216-051-sunburst_01,216-052-sunburst_02"
260,4_act2,Ombre,050-011-c02-papertexture1.mov v001,050-011-papertexture1
261,4_act2,Collage,"050-011-c02-papertexture1.mov v001,216-020-c02-collagenoflash_@little_ceecee@little_bertie.mov v003","050-011-papertexture1,216-020-collagenoflash_@little_ceecee@little_bertie"
262,4_act2,Flash,"090-001-c00-white_square_hard.png v001,216-020-c02-collagenoflash_@little_ceecee@little_bertie.mov v003","090-001-white_square_hard,216-020-collagenoflash_@little_ceecee@little_bertie"
263,4_act2,Bows,"050-020-c02-papertexture10.mov v001,090-653-c00-a_black320_square_supersoft.png v001","050-020-papertexture10,090-653-a_black320_square_supersoft"
271,4_act2,BO,"050-020-c02-papertexture10.mov v001,090-653-c00-a_black320_square_supersoft.png v001","050-020-papertexture10,090-653-a_black320_square_supersoft"
272,4_act2,Restore,"050-020-c02-papertexture10.mov v001,090-653-c00-a_black320_square_supersoft.png v001","050-020-papertexture10,090-653-a_black320_square_supersoft"
273,4_act2,House Up,"050-020-c02-papertexture10.mov v001,216-101-c02-walkout_logo_nobg_withmusical.mov v005,090-653-c00-a_black320_square_supersoft.png v001","050-020-papertexture10,216-101-walkout_logo_nobg_withmusical,090-653-a_black320_square_supersoft"
